¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,√÷¿˙±‚ø¬(°∆C),√÷∞Ì±‚ø¬(°∆C),¿œ∞≠ºˆ∑Æ(mm),∆Ú±’ «≥º”(m/s),∆Ú±’ ªÛ¥ÎΩ¿µµ(%),¿œ √÷Ω…Ω≈¿˚º≥(cm),∆Ú±’ ¿¸øÓ∑Æ(1/10),æ»∞≥ ∞Ëº”Ω√∞£(hr),¿œ πÃºº∏’¡ˆ ≥Ûµµ(ß∂/ß©)
169,»ÊªÍµµ,1997-01-30,2.2,4.5,,3.9,77.6,,6.5,,
169,»ÊªÍµµ,1997-01-31,2.1,7.5,,8.1,77.4,,5.5,,
169,»ÊªÍµµ,1997-02-01,0.8,2.6,,8.3,79.9,,7.4,,
169,»ÊªÍµµ,1997-02-02,0.4,3.0,,11.9,80.1,,7.1,,
169,»ÊªÍµµ,1997-02-03,0.1,1.4,,13.1,79.4,,5.4,,
169,»ÊªÍµµ,1997-02-04,0.8,2.5,,7.0,82.3,,4.6,,
169,»ÊªÍµµ,1997-02-05,1.9,4.8,,7.9,78.3,,4.6,,
169,»ÊªÍµµ,1997-02-06,1.0,4.0,,13.3,76.1,,6.9,,
169,»ÊªÍµµ,1997-02-07,0.5,3.3,,6.3,89.5,,6.8,,
169,»ÊªÍµµ,1997-02-08,1.7,4.7,,7.9,76.5,,3.1,,
169,»ÊªÍµµ,1997-02-09,2.9,5.1,,8.0,85.1,,1.1,,
169,»ÊªÍµµ,1997-02-10,0.0,6.6,0.0,8.4,81.1,,5.5,,
169,»ÊªÍµµ,1997-02-11,-2.5,3.1,0.0,14.1,69.5,,6.5,,
169,»ÊªÍµµ,1997-02-12,0.9,2.3,,12.8,68.9,,6.6,,
169,»ÊªÍµµ,1997-02-13,1.0,5.0,,10.4,59.6,,2.5,,
169,»ÊªÍµµ,1997-02-14,1.8,7.0,,2.9,61.5,,3.9,,
169,»ÊªÍµµ,1997-02-15,2.5,10.1,,3.6,72.5,,7.5,,
169,»ÊªÍµµ,1997-02-16,-1.7,4.6,,18.8,77.0,,6.8,,
169,»ÊªÍµµ,1997-02-17,0.3,2.8,,10.4,73.4,,4.9,,
169,»ÊªÍµµ,1997-02-18,0.7,5.2,,9.5,64.0,,3.1,,
169,»ÊªÍµµ,1997-02-19,1.4,6.6,,5.7,61.9,,1.3,,
169,»ÊªÍµµ,1997-02-20,2.8,11.6,,10.0,74.3,,1.5,,
169,»ÊªÍµµ,1997-02-21,0.6,5.6,,14.2,73.0,,1.4,,
169,»ÊªÍµµ,1997-02-22,-0.2,2.6,,6.8,72.3,,2.5,,
169,»ÊªÍµµ,1997-02-23,1.3,11.0,,2.3,87.8,,2.5,,
169,»ÊªÍµµ,1997-02-24,4.5,9.3,0.0,5.4,90.1,,8.3,,
169,»ÊªÍµµ,1997-02-25,4.7,12.6,5.5,7.2,93.1,,10.0,3.67,
169,»ÊªÍµµ,1997-02-26,4.6,6.4,,6.4,89.8,,7.5,,
169,»ÊªÍµµ,1997-02-27,4.9,13.8,,3.8,86.4,,2.3,,
169,»ÊªÍµµ,1997-02-28,5.0,12.9,2.1,11.5,90.5,,8.6,,
169,»ÊªÍµµ,1997-03-01,3.3,5.2,,10.6,72.1,,3.0,,
169,»ÊªÍµµ,1997-03-02,2.3,5.2,,7.0,71.1,,6.4,,
169,»ÊªÍµµ,1997-03-03,1.1,4.0,,6.0,60.9,,0.4,,
169,»ÊªÍµµ,1997-03-04,3.1,11.3,,4.0,66.9,,0.0,,
169,»ÊªÍµµ,1997-03-05,6.3,12.1,,6.2,85.8,,0.0,,
169,»ÊªÍµµ,1997-03-06,6.7,11.9,17.5,7.3,91.5,,4.1,9.27,
169,»ÊªÍµµ,1997-03-07,4.6,7.5,,5.3,66.6,,1.5,4.3,
169,»ÊªÍµµ,1997-03-08,3.8,12.1,,2.8,54.0,,0.0,,
169,»ÊªÍµµ,1997-03-09,6.6,13.7,11.5,5.1,68.1,,5.8,,
169,»ÊªÍµµ,1997-03-10,6.7,11.4,26.6,10.3,92.1,,10.0,9.8,
169,»ÊªÍµµ,1997-03-11,3.9,7.6,,8.8,69.9,,3.9,1.83,
169,»ÊªÍµµ,1997-03-12,4.9,10.3,0.5,4.0,81.3,,9.4,,
169,»ÊªÍµµ,1997-03-13,7.2,11.8,1.1,3.6,83.0,,6.3,,
169,»ÊªÍµµ,1997-03-14,6.4,10.3,24.0,5.8,89.5,,10.0,11.33,
169,»ÊªÍµµ,1997-03-15,4.7,8.4,7.0,3.9,93.5,,10.0,16.82,
169,»ÊªÍµµ,1997-03-16,4.4,6.0,,7.1,85.9,,10.0,,
169,»ÊªÍµµ,1997-03-17,5.1,11.1,,2.0,74.5,,3.6,,
169,»ÊªÍµµ,1997-03-18,4.2,7.2,,5.5,78.6,,3.9,,
169,»ÊªÍµµ,1997-03-19,4.9,7.4,,7.8,82.1,,5.1,,
169,»ÊªÍµµ,1997-03-20,5.0,8.6,,4.0,86.9,,5.8,,
169,»ÊªÍµµ,1997-03-21,5.4,8.0,,4.1,85.4,,5.6,,
169,»ÊªÍµµ,1997-03-22,5.0,8.2,,7.5,82.8,,4.6,,
169,»ÊªÍµµ,1997-03-23,2.5,6.1,,16.0,64.3,,1.5,,
169,»ÊªÍµµ,1997-03-24,3.3,6.6,,5.9,56.1,,2.1,,
169,»ÊªÍµµ,1997-03-25,3.4,10.4,0.0,2.3,77.0,,7.8,,
169,»ÊªÍµµ,1997-03-26,5.0,7.9,1.2,5.6,87.6,,4.5,,
169,»ÊªÍµµ,1997-03-27,5.0,10.0,,4.5,77.6,,3.4,,
169,»ÊªÍµµ,1997-03-28,7.4,13.4,,2.8,72.5,,8.1,,
169,»ÊªÍµµ,1997-03-29,4.8,14.2,,6.2,77.3,,5.9,2.17,
169,»ÊªÍµµ,1997-03-30,2.9,5.3,,14.7,51.3,,0.6,,
169,»ÊªÍµµ,1997-03-31,3.0,6.4,,5.5,65.6,,0.0,,
169,»ÊªÍµµ,1997-04-01,4.7,12.3,23.4,8.3,87.5,,6.1,2.33,
169,»ÊªÍµµ,1997-04-02,7.2,17.2,31.0,8.0,95.3,,10.0,13.95,
169,»ÊªÍµµ,1997-04-03,6.9,8.2,0.1,5.6,91.8,,10.0,3.23,
169,»ÊªÍµµ,1997-04-04,6.8,10.0,9.4,4.0,95.1,,10.0,24.0,
169,»ÊªÍµµ,1997-04-05,6.4,8.1,3.7,4.7,94.8,,10.0,24.0,
169,»ÊªÍµµ,1997-04-06,6.3,12.0,,2.6,85.4,,1.3,1.9,
169,»ÊªÍµµ,1997-04-07,5.0,12.0,,3.2,83.4,,3.1,6.58,
169,»ÊªÍµµ,1997-04-08,5.3,11.6,0.0,2.6,75.4,,8.1,2.33,
169,»ÊªÍµµ,1997-04-09,7.3,10.2,,7.9,78.0,,4.5,,
169,»ÊªÍµµ,1997-04-10,6.5,13.8,,2.7,61.9,,1.4,,
169,»ÊªÍµµ,1997-04-11,7.7,12.0,,4.8,64.6,,0.6,,
169,»ÊªÍµµ,1997-04-12,8.5,15.4,,2.4,64.4,,0.6,,
169,»ÊªÍµµ,1997-04-13,8.0,15.7,,3.1,83.0,,0.4,,
169,»ÊªÍµµ,1997-04-14,6.9,13.9,,3.0,85.0,,8.0,17.82,
169,»ÊªÍµµ,1997-04-15,9.0,12.9,,5.2,70.1,,7.1,,
169,»ÊªÍµµ,1997-04-16,7.6,15.3,,5.4,86.3,,4.6,,
169,»ÊªÍµµ,1997-04-17,8.1,11.4,0.3,4.8,86.5,,8.5,,
169,»ÊªÍµµ,1997-04-18,7.5,11.0,0.2,8.1,85.9,,2.6,,
169,»ÊªÍµµ,1997-04-19,9.1,15.2,,3.9,59.5,,0.0,,
169,»ÊªÍµµ,1997-04-20,9.5,18.4,,3.2,70.8,,5.8,,
169,»ÊªÍµµ,1997-04-21,9.3,13.6,10.6,7.0,81.0,,8.6,,
169,»ÊªÍµµ,1997-04-22,9.3,11.5,,13.0,61.5,,1.8,,
169,»ÊªÍµµ,1997-04-23,8.4,11.4,,6.2,88.8,,3.4,,
169,»ÊªÍµµ,1997-04-24,8.4,14.1,,3.1,79.8,,3.0,,
169,»ÊªÍµµ,1997-04-25,8.4,15.6,,2.9,61.6,,3.1,,
169,»ÊªÍµµ,1997-04-26,9.3,17.0,,1.2,48.8,,0.0,,
169,»ÊªÍµµ,1997-04-27,9.9,16.9,,3.4,67.1,,6.4,,
169,»ÊªÍµµ,1997-04-28,10.2,15.7,,7.4,91.6,,10.0,14.58,
169,»ÊªÍµµ,1997-04-29,9.8,14.8,2.2,8.9,90.4,,9.3,21.45,
169,»ÊªÍµµ,1997-04-30,9.2,13.6,,5.8,89.5,,7.3,13.42,
169,»ÊªÍµµ,1997-05-01,9.2,17.7,,3.6,58.9,,3.1,,
169,»ÊªÍµµ,1997-05-02,10.2,16.5,,6.4,87.9,,9.4,5.33,
169,»ÊªÍµµ,1997-05-03,13.2,21.8,,4.8,77.3,,4.5,1.25,
169,»ÊªÍµµ,1997-05-04,10.9,16.3,0.1,10.0,92.8,,9.6,18.07,
169,»ÊªÍµµ,1997-05-05,11.7,15.0,,5.1,93.8,,10.0,20.37,
169,»ÊªÍµµ,1997-05-06,12.2,16.7,,11.0,96.4,,10.0,24.0,
169,»ÊªÍµµ,1997-05-07,15.2,20.9,37.6,12.4,96.1,,10.0,19.58,
169,»ÊªÍµµ,1997-05-08,10.2,15.2,,10.8,82.5,,6.5,1.75,
169,»ÊªÍµµ,1997-05-09,10.5,18.2,,3.4,50.6,,0.4,,
169,»ÊªÍµµ,1997-05-10,10.0,16.0,,5.4,82.3,,8.0,,
169,»ÊªÍµµ,1997-05-11,12.9,16.3,6.3,9.0,95.6,,10.0,13.92,
169,»ÊªÍµµ,1997-05-12,13.6,17.4,0.7,15.5,95.8,,10.0,7.25,
169,»ÊªÍµµ,1997-05-13,13.2,19.7,2.6,5.3,95.3,,9.0,17.08,
169,»ÊªÍµµ,1997-05-14,13.0,16.6,0.9,2.9,95.8,,10.0,24.0,
169,»ÊªÍµµ,1997-05-15,13.0,20.0,,1.5,94.9,,6.9,24.0,
169,»ÊªÍµµ,1997-05-16,13.2,19.6,,6.7,76.1,,7.6,3.75,
169,»ÊªÍµµ,1997-05-17,14.1,21.8,,8.7,24.9,,2.1,,
169,»ÊªÍµµ,1997-05-18,13.2,21.1,,9.8,73.1,,7.3,,
169,»ÊªÍµµ,1997-05-19,12.5,16.4,,5.5,88.4,,1.4,5.75,
169,»ÊªÍµµ,1997-05-20,12.5,15.5,,7.3,84.8,,0.4,,
169,»ÊªÍµµ,1997-05-21,12.3,17.8,,4.2,88.5,,2.6,,
169,»ÊªÍµµ,1997-05-22,12.0,18.9,,3.2,74.4,,6.8,,
169,»ÊªÍµµ,1997-05-23,11.6,19.2,10.9,5.4,79.5,,6.6,,
169,»ÊªÍµµ,1997-05-24,12.3,15.1,,7.6,81.8,,1.8,,
169,»ÊªÍµµ,1997-05-25,13.0,21.6,,5.1,60.3,,1.0,,
169,»ÊªÍµµ,1997-05-26,13.5,19.9,1.3,7.6,86.4,,4.1,,
169,»ÊªÍµµ,1997-05-27,13.6,17.1,0.0,11.8,84.9,,5.6,,
169,»ÊªÍµµ,1997-05-28,13.8,16.2,0.0,10.4,89.6,,9.9,,
169,»ÊªÍµµ,1997-05-29,14.6,20.7,,5.7,87.9,,6.9,,
169,»ÊªÍµµ,1997-05-30,14.6,19.6,14.0,6.5,91.5,,4.1,6.38,
169,»ÊªÍµµ,1997-05-31,12.8,20.4,,5.4,85.8,,0.0,,
169,»ÊªÍµµ,1997-06-01,14.5,22.2,0.1,9.1,91.8,,8.3,12.33,
169,»ÊªÍµµ,1997-06-02,14.2,19.8,,2.5,77.0,,0.0,,
169,»ÊªÍµµ,1997-06-03,14.2,20.8,,2.1,69.9,,4.9,,
169,»ÊªÍµµ,1997-06-04,15.4,21.7,,2.5,77.8,,4.8,1.95,
169,»ÊªÍµµ,1997-06-05,16.3,23.4,0.2,5.9,93.8,,9.4,23.07,
169,»ÊªÍµµ,1997-06-06,15.2,19.1,7.5,3.9,92.4,,6.4,9.7,
169,»ÊªÍµµ,1997-06-07,15.1,19.9,,7.3,87.1,,8.5,,
169,»ÊªÍµµ,1997-06-08,16.4,21.8,38.4,7.1,94.4,,10.0,15.35,
169,»ÊªÍµµ,1997-06-09,15.2,21.5,,6.0,81.8,,5.3,5.8,
169,»ÊªÍµµ,1997-06-10,18.1,21.3,,4.3,75.5,,5.6,,
169,»ÊªÍµµ,1997-06-11,15.6,22.3,0.0,3.3,83.4,,3.0,2.57,
169,»ÊªÍµµ,1997-06-12,16.7,22.1,,1.8,78.1,,0.0,,
169,»ÊªÍµµ,1997-06-13,16.4,22.4,,3.8,74.4,,2.1,1.42,
169,»ÊªÍµµ,1997-06-14,18.4,23.2,,2.4,73.3,,3.8,,
169,»ÊªÍµµ,1997-06-15,18.6,23.2,,3.9,81.5,,5.0,,
169,»ÊªÍµµ,1997-06-16,17.4,23.9,,3.3,76.1,,0.0,,
169,»ÊªÍµµ,1997-06-17,19.6,23.7,,4.1,83.1,,1.4,,
169,»ÊªÍµµ,1997-06-18,18.2,24.5,,2.3,80.8,,6.5,,
169,»ÊªÍµµ,1997-06-19,18.9,25.6,0.0,2.1,76.5,,7.1,,
169,»ÊªÍµµ,1997-06-20,19.2,25.9,,1.8,84.9,,4.8,,
169,»ÊªÍµµ,1997-06-21,18.5,24.4,,2.5,89.3,,4.5,6.28,
169,»ÊªÍµµ,1997-06-22,17.5,22.6,,4.1,93.5,,7.5,24.0,
169,»ÊªÍµµ,1997-06-23,17.0,23.9,,3.0,93.0,,4.5,17.38,
169,»ÊªÍµµ,1997-06-24,17.8,24.4,3.6,5.4,92.8,,8.9,10.12,
169,»ÊªÍµµ,1997-06-25,17.7,21.4,45.8,11.9,95.1,,10.0,20.65,
169,»ÊªÍµµ,1997-06-26,18.1,21.2,40.2,5.2,95.1,,8.6,13.93,
169,»ÊªÍµµ,1997-06-27,17.9,23.4,3.8,3.4,94.5,,9.5,18.9,
169,»ÊªÍµµ,1997-06-28,18.6,22.0,,8.6,93.4,,3.4,4.85,
169,»ÊªÍµµ,1997-06-29,18.0,23.9,,4.1,92.4,,3.9,12.33,
169,»ÊªÍµµ,1997-06-30,18.9,22.2,6.2,8.0,95.1,,9.4,10.97,
169,»ÊªÍµµ,1997-07-01,19.9,24.1,46.1,10.7,96.0,,9.8,16.1,
169,»ÊªÍµµ,1997-07-02,19.8,23.1,0.4,4.6,96.0,,10.0,24.0,
169,»ÊªÍµµ,1997-07-03,19.6,22.7,0.0,9.5,95.5,,8.3,22.2,
169,»ÊªÍµµ,1997-07-04,19.9,23.8,0.0,11.5,94.3,,9.1,8.88,
169,»ÊªÍµµ,1997-07-05,18.7,25.2,32.4,7.2,94.4,,9.1,11.35,
169,»ÊªÍµµ,1997-07-06,18.4,22.0,43.5,6.7,95.1,,8.0,11.48,
169,»ÊªÍµµ,1997-07-07,17.9,24.2,,2.2,87.0,,5.3,,
169,»ÊªÍµµ,1997-07-08,18.3,21.7,,3.5,89.5,,7.9,,
169,»ÊªÍµµ,1997-07-09,18.8,22.5,,4.2,87.6,,6.9,,
169,»ÊªÍµµ,1997-07-10,19.7,23.1,,3.2,93.8,,7.0,15.92,
169,»ÊªÍµµ,1997-07-11,19.0,21.2,32.0,5.9,95.1,,10.0,14.28,
169,»ÊªÍµµ,1997-07-12,18.7,21.1,0.3,4.7,94.1,,9.3,7.32,
169,»ÊªÍµµ,1997-07-13,19.9,26.2,,1.9,90.6,,5.1,,
169,»ÊªÍµµ,1997-07-14,18.8,23.6,0.3,4.3,94.9,,10.0,15.17,
169,»ÊªÍµµ,1997-07-15,19.5,23.8,6.5,6.5,96.8,,10.0,22.57,
169,»ÊªÍµµ,1997-07-16,20.9,27.4,147.7,6.6,94.9,,7.9,3.95,
169,»ÊªÍµµ,1997-07-17,20.2,26.0,,2.2,95.3,,8.0,24.0,
169,»ÊªÍµµ,1997-07-18,19.7,25.3,0.1,6.1,92.3,,7.9,6.8,
169,»ÊªÍµµ,1997-07-19,19.7,24.6,,7.2,92.0,,5.8,0.65,
169,»ÊªÍµµ,1997-07-20,21.5,25.6,,9.7,95.1,,8.9,15.27,
169,»ÊªÍµµ,1997-07-21,21.8,27.2,,8.3,94.6,,7.9,13.98,
169,»ÊªÍµµ,1997-07-22,21.1,27.4,,3.8,93.6,,5.3,12.73,
169,»ÊªÍµµ,1997-07-23,22.3,27.1,,4.8,92.8,,2.1,1.68,
169,»ÊªÍµµ,1997-07-24,23.0,26.6,,2.8,94.8,,6.5,8.73,
169,»ÊªÍµµ,1997-07-25,22.2,27.4,,3.3,86.4,,1.5,6.37,
169,»ÊªÍµµ,1997-07-26,23.8,27.0,,5.6,88.9,,3.5,7.93,
169,»ÊªÍµµ,1997-07-27,24.2,28.2,,4.4,90.1,,2.3,4.62,
169,»ÊªÍµµ,1997-07-28,24.1,29.3,,2.8,89.1,,6.9,11.33,
169,»ÊªÍµµ,1997-07-29,24.3,29.5,,1.5,83.1,,4.3,,
169,»ÊªÍµµ,1997-07-30,23.4,28.6,,3.4,85.0,,3.8,5.32,
169,»ÊªÍµµ,1997-07-31,22.5,26.8,,4.7,86.3,,4.3,,
169,»ÊªÍµµ,1997-08-01,22.4,29.0,,4.0,81.3,,1.6,,
169,»ÊªÍµµ,1997-08-02,22.8,29.0,,4.8,86.1,,4.9,8.05,
169,»ÊªÍµµ,1997-08-03,23.2,27.4,0.0,8.4,85.3,,5.8,,
169,»ÊªÍµµ,1997-08-04,21.1,27.3,100.2,11.6,88.8,,9.9,1.23,
169,»ÊªÍµµ,1997-08-05,23.0,25.4,1.5,4.9,83.8,,5.5,,
169,»ÊªÍµµ,1997-08-06,22.6,28.3,,2.5,85.9,,1.8,,
169,»ÊªÍµµ,1997-08-07,22.8,28.1,4.8,5.3,89.6,,5.6,9.55,
169,»ÊªÍµµ,1997-08-08,23.5,28.8,,6.3,81.6,,5.3,,
169,»ÊªÍµµ,1997-08-09,23.6,29.9,0.5,5.6,89.6,,9.0,2.33,
169,»ÊªÍµµ,1997-08-10,20.7,26.4,8.6,4.3,76.3,,6.4,,
169,»ÊªÍµµ,1997-08-11,21.7,26.4,,1.4,71.5,,3.0,,
169,»ÊªÍµµ,1997-08-12,21.0,26.5,,2.2,80.6,,1.3,,
169,»ÊªÍµµ,1997-08-13,22.2,25.8,0.0,2.6,82.9,,6.8,,
169,»ÊªÍµµ,1997-08-14,22.0,26.3,19.8,3.6,84.0,,7.8,,
169,»ÊªÍµµ,1997-08-15,22.2,25.9,,2.6,77.3,,7.4,,
169,»ÊªÍµµ,1997-08-16,21.6,26.7,,3.2,74.3,,0.0,,
169,»ÊªÍµµ,1997-08-17,22.2,26.3,,3.4,81.3,,1.9,,
169,»ÊªÍµµ,1997-08-18,23.7,28.2,,4.5,82.1,,7.1,,
169,»ÊªÍµµ,1997-08-19,22.4,26.5,,10.9,88.3,,7.9,,
169,»ÊªÍµµ,1997-08-20,22.6,27.2,,12.9,87.9,,5.6,,
169,»ÊªÍµµ,1997-08-21,22.9,28.0,2.8,9.0,84.1,,7.0,,
169,»ÊªÍµµ,1997-08-22,22.5,26.4,,1.9,70.5,,2.8,,
169,»ÊªÍµµ,1997-08-23,22.6,27.1,,1.6,78.8,,1.4,,
169,»ÊªÍµµ,1997-08-24,22.8,25.5,,4.6,81.5,,0.4,,
169,»ÊªÍµµ,1997-08-25,22.2,27.8,,5.1,80.1,,0.1,,
169,»ÊªÍµµ,1997-08-26,21.4,28.6,,3.5,80.0,,0.8,,
169,»ÊªÍµµ,1997-08-27,22.7,26.2,,1.4,83.4,,0.3,,
169,»ÊªÍµµ,1997-08-28,21.9,29.0,1.5,2.9,86.0,,2.6,,
169,»ÊªÍµµ,1997-08-29,24.2,30.8,0.0,4.2,87.4,,6.1,,
169,»ÊªÍµµ,1997-08-30,24.1,31.0,,3.2,85.1,,2.5,,
169,»ÊªÍµµ,1997-08-31,24.6,31.5,,3.6,85.1,,1.5,,
169,»ÊªÍµµ,1997-09-01,24.6,31.1,,5.1,85.0,,5.3,,
169,»ÊªÍµµ,1997-09-02,21.0,28.6,6.2,7.4,80.9,,8.8,,
169,»ÊªÍµµ,1997-09-03,22.7,24.8,,8.6,69.9,,6.3,,
169,»ÊªÍµµ,1997-09-04,21.8,25.2,,1.6,73.4,,7.8,,
169,»ÊªÍµµ,1997-09-05,21.5,27.7,,2.9,80.5,,4.8,,
169,»ÊªÍµµ,1997-09-06,21.6,26.0,,3.0,71.8,,1.3,,
169,»ÊªÍµµ,1997-09-07,22.6,26.4,,5.4,77.3,,0.0,,
169,»ÊªÍµµ,1997-09-08,22.4,26.2,,2.4,77.9,,0.0,,
169,»ÊªÍµµ,1997-09-09,22.2,27.6,,1.4,76.6,,0.5,,
169,»ÊªÍµµ,1997-09-10,22.9,27.8,,4.0,80.9,,2.5,,
169,»ÊªÍµµ,1997-09-11,22.1,24.6,,7.4,62.9,,1.4,,
169,»ÊªÍµµ,1997-09-12,22.0,24.9,,4.9,82.0,,2.4,,
169,»ÊªÍµµ,1997-09-13,22.0,24.8,,5.7,81.1,,3.1,,
169,»ÊªÍµµ,1997-09-14,21.1,22.6,,11.0,78.3,,3.9,,
169,»ÊªÍµµ,1997-09-15,19.8,22.3,,9.0,61.9,,4.0,,
169,»ÊªÍµµ,1997-09-16,17.2,20.3,0.0,8.7,83.3,,6.6,,
169,»ÊªÍµµ,1997-09-17,19.2,21.6,,7.9,73.6,,4.1,,
169,»ÊªÍµµ,1997-09-18,17.7,21.0,,9.3,62.6,,2.0,,
169,»ÊªÍµµ,1997-09-19,17.5,20.7,,4.9,59.0,,1.8,,
169,»ÊªÍµµ,1997-09-20,17.7,23.6,,4.2,59.8,,8.0,,
169,»ÊªÍµµ,1997-09-21,17.0,19.4,,8.6,52.6,,2.8,,
169,»ÊªÍµµ,1997-09-22,17.2,19.9,,7.8,60.1,,0.0,,
169,»ÊªÍµµ,1997-09-23,17.4,20.5,,4.3,79.4,,0.0,,
169,»ÊªÍµµ,1997-09-24,17.8,23.3,0.0,4.0,80.3,,9.3,,
169,»ÊªÍµµ,1997-09-25,17.0,19.5,57.9,5.9,91.5,,8.3,,
169,»ÊªÍµµ,1997-09-26,15.3,22.2,2.0,5.9,64.3,,6.1,,
169,»ÊªÍµµ,1997-09-27,16.3,20.2,1.0,7.9,68.3,,2.6,,
169,»ÊªÍµµ,1997-09-28,17.3,21.1,,2.8,59.5,,0.9,,
169,»ÊªÍµµ,1997-09-29,17.7,21.4,,1.2,70.5,,0.0,,
169,»ÊªÍµµ,1997-09-30,16.9,24.3,,1.7,74.8,,3.5,,
169,»ÊªÍµµ,1997-10-01,17.9,23.8,,2.7,72.8,,6.1,,
169,»ÊªÍµµ,1997-10-02,18.6,21.2,,3.9,74.3,,3.0,,
169,»ÊªÍµµ,1997-10-03,18.2,24.3,,2.6,83.6,,5.9,,
169,»ÊªÍµµ,1997-10-04,16.8,21.7,0.0,5.7,82.6,,7.4,,
169,»ÊªÍµµ,1997-10-05,16.7,18.8,,10.4,50.1,,2.1,,
169,»ÊªÍµµ,1997-10-06,15.9,22.6,,3.2,48.5,,1.6,,
169,»ÊªÍµµ,1997-10-07,16.0,21.9,,5.9,65.0,,2.4,,
169,»ÊªÍµµ,1997-10-08,14.3,17.8,,8.0,61.1,,0.4,,
169,»ÊªÍµµ,1997-10-09,13.9,21.0,,4.0,69.3,,3.9,,
169,»ÊªÍµµ,1997-10-10,15.7,23.2,,10.5,73.0,,3.1,,
169,»ÊªÍµµ,1997-10-11,15.3,18.3,,5.2,51.4,,1.1,,
169,»ÊªÍµµ,1997-10-12,13.2,16.3,,7.9,62.4,,1.3,,
169,»ÊªÍµµ,1997-10-13,12.2,21.6,,5.4,74.6,,1.9,,
169,»ÊªÍµµ,1997-10-14,15.8,21.7,,7.9,72.6,,2.8,,
169,»ÊªÍµµ,1997-10-15,14.7,17.0,,4.3,57.8,,4.6,,
169,»ÊªÍµµ,1997-10-16,14.7,22.0,,2.9,62.9,,0.8,,
169,»ÊªÍµµ,1997-10-17,16.1,22.8,,4.6,81.9,,2.5,,
169,»ÊªÍµµ,1997-10-18,14.7,19.1,0.1,4.3,72.4,,1.9,,
169,»ÊªÍµµ,1997-10-19,13.7,23.7,,7.4,69.8,,0.8,,
169,»ÊªÍµµ,1997-10-20,19.8,26.3,,7.7,65.1,,0.8,,
169,»ÊªÍµµ,1997-10-21,16.8,24.9,,4.4,85.8,,4.0,3.42,
